t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3,tip_x,tip_y,tip_z
0.056,-0.0018285081833368949,0.008958261497514294,-0.02160319969797402,-0.06550944535175475,0.3067281879927944,-0.7159914010920141,-0.4484612649404983,0.820427182546613,-4.638212569872459,0.006231405866525844,0.0,0.5001105427691666
0.058,-0.0019649595318380723,0.00959425923129215,-0.023082807470926652,-0.06822567425058863,0.317998866888928,-0.7398038864763168,-0.45072713718591273,0.8556101500566045,-4.607682599396755,0.006664224070136759,0.0,0.5001267706119704
0.06,-0.0021068910830120166,0.010252835291960081,-0.024609812252284445,-0.07096577558697219,0.32928803033396603,-0.7635023906788959,-0.4531941738533572,0.8905318388103413,-4.576366352135242,0.00711048252677967,0.0,0.5001447029652437
0.062,-0.002254349243573622,0.010934021213343326,-0.0261839755849532,-0.07372908028080256,0.34059296069162204,-0.7870816663343765,-0.4558633212934684,0.9251891754263952,-4.544270157275188,0.00757005433139773,0.0,0.5001644507898266
0.064,-0.0024073790765053687,0.011637843093330522,-0.02780504856146225,-0.07651491646587338,0.3519109399935984,-0.810536488254526,-0.4587355089186683,0.9595791490087728,-4.5114005006023135,0.00804280998279167,0.0,0.5001861277622952
0.066,-0.0025660242957678903,0.012364321594354894,-0.029472771870420557,-0.07932260963126074,0.36323925051218586,-0.8338616544791533,-0.4618116490022235,0.9936988114606238,-4.477764023347694,0.008528617400060414,0.0,0.5002098501715206
0.068,-0.002730327261298768,0.01311347194504239,-0.03118687584510382,-0.08215148276543897,0.3745751753437478,-0.8570519873416307,-0.4650926364765098,1.0275452777759513,-4.443367520985237,0.009027341939637595,0.0,0.5002357368119771
0.07,-0.002900328974305211,0.01388530394304891,-0.032947080514202164,-0.08500085650322133,0.3859159990032603,-0.8801023345491726,-0.4685793487303954,1.0611157263088922,-4.4082179419793475,0.009538846412950192,0.0,0.500263908873881
0.07200000000000001,-0.0030760690728564404,0.014679821959109012,-0.03475309565475808,-0.08787004927561468,0.3972590080300514,-0.903007570277958,-0.4722726454056654,1.0944073990200716,-4.372322386482446,0.010062991104724885,0.0,0.5002944898302444
0.074,-0.0032575858277817827,0.015497024942318716,-0.03660462084732434,-0.09075837746267125,0.4086014916048521,-0.9257625962831311,-0.47617336819232525,1.1274176016996689,-4.3356881049819735,0.01059963379196814,0.0,0.5003276053209349
0.076,-0.0034449161388806103,0.016336906426675204,-0.03850134553337167,-0.09366515554941375,0.4199407421782435,-0.9483623430236678,-0.4802823406227557,1.1601437041667308,-4.298322496896664,0.011148629763645154,0.0,0.5003633830338269
0.078,-0.0036380955314504163,0.017199454538896305,-0.040442949074975754,-0.09658969628490305,0.4312740561105503,-0.9708017708020391,-0.48460036786457017,1.1925831404444045,-4.2602331091218355,0.011709831841083216,0.0,0.5004019525831694
0.08,-0.0038371581531394376,0.01808465200754271,-0.04242910081681286,-0.09953131084451058,0.44259873432320157,-0.9930758709185507,-0.4891282365121069,1.2247334089107262,-4.221427634523514,0.012283090399123866,0.0,0.5004434453852246
0.082,-0.004042136771130336,0.018992476173465795,-0.04445946015049323,-0.10248930899544925,0.4539120829615436,-1.0151796668401851,-0.493866714376487,1.256592072424608,-4.18191391038128,0.012868253388048635,0.0,0.5004879945313297
0.084,-0.004253062769661553,0.019922899001603912,-0.04653367658126066,-0.10546299926560866,0.4652114140690578,-1.0371082153837148,-0.49881655027411853,1.288156758426786,-4.141699916779786,0.013465166356301673,0.0,0.5005357346584483
0.08600000000000001,-0.004469966147893018,0.02087588709414971,-0.048651389797086254,-0.10845168911573214,0.4764940462729001,-1.0588566079127981,-0.5039784738135996,1.3194251590154018,-4.100793774948844,0.014073672474033058,0.0,0.5005868018173475
0.088,-0.004692875518122946,0.021851401705111,-0.050812229740183686,-0.11145468511496374,0.487757305480644,-1.080419971548717,-0.50935319518096,1.3503950309960129,-4.059203745552232,0.014693612557484642,0.0,0.5006413333385028
0.09,-0.004921818104362514,0.022849398756287144,-0.05301581668097239,-0.11447129311978435,0.4989985255880724,-1.1017934703943522,-0.5149414049231336,1.3810641959058279,-4.0169382269251965,0.015324825094240928,0.0,0.5006994676958456
0.092,-0.005156819741275207,0.0238698288546828,-0.05526176129451427,-0.11750081845634645,0.5102150491978272,-1.1229723067709365,-0.5207437737296665,1.4114305400119633,-3.974005753260904,0.01596714626936529,0.0,0.5007613443684776
0.094,-0.005397904873487622,0.024912637311380176,-0.057549664739448406,-0.1205425661062073,0.5214042283486886,-1.143951722467071,-0.526760952212557,1.4414920142836265,-3.9304149927459404,0.016620409992442152,0.0,0.5008271037004648
0.096,-0.005645096555278522,0.02597776416189061,-0.05987911873944725,-0.12359584089544987,0.5325634252552165,-1.1647269999994223,-0.5329935706842053,1.4712466343380624,-3.8861747456452367,0.01728444792554377,0.0,0.5008968867588537
0.098,-0.005898416450652863,0.027065144188005513,-0.062249705667216194,-0.126659947687171,0.5436900130574525,-1.1852934638844719,-0.5394422389334692,1.5006924803602546,-3.8412939423366663,0.017959089512140126,0.0,0.5009708351900125
0.1,-0.006157884833807473,0.02817470694116619,-0.06466099863105743,-0.12973419157730517,0.5547813765803387,-1.2056464819206174,-0.5461075459997367,1.529827696996297,-3.795781641295755,0.01864416200696853,0.0,0.5010490910744471
